Text,Question,Answer,Template
"In these reactions , the nuclei of atoms come together to form new , heavier chemical elements .","For what purpose do the nuclei of atoms come together in these reactions ?","to form new , heavier chemical elements","AmPncQgTemplate"
"With chemical remediation , a chemical is pumped into the aquifer so the contaminant is destroyed .","For what purpose is a chemical pumped into the aquifer with chemical remediation ?","so the contaminant is destroyed","AmPncQgTemplate"
"Numerous missions have been planned to explore Europa , including plans to drill through the ice and send a probe into the ocean .","For what purpose have Numerous missions been planned ?","to explore Europa","AmPncQgTemplate"
"He was writing a chemistry textbook and wanted to find a way to organize the 63 known elements so it would be easier for students to learn about them .","For what purpose do He organize the 63 known elements a way ?","so it would be easier for students to learn about them","AmPncQgTemplate"
"Then move another finger along the longitude line to find your and longitude .","For what purpose do another finger move along the longitude line ?","to find your and longitude","AmPncQgTemplate"
"After a certain amount of feces have collected , a sphincter relaxes to let the feces pass out of the body through the anus .","For what purpose does a sphincter relax after a certain amount of feces have collected ?","to let the feces pass out of the body through the anus","AmPncQgTemplate"
"Trees take in carbon dioxide for photosynthesis .","For what purpose do Trees take carbon dioxide ?","for photosynthesis","AmPncQgTemplate"
"For life to become even more complex , multicellular organisms needed to evolve .","For what purpose did multicellular organisms need to evolve ?","For life to become even more complex","AmPncQgTemplate"
"Differences in kinetic energy explain why matter exists in different states .","Why does matter exist in different states ?","why","AmCauQgTemplate"
"As a result , they keep orbiting the sun and never crash to its surface .","Why do they never crash to its surface ?","As a result","AmCauQgTemplate"
"A population may also shrink if it grows too large for the resources required to support it .","For what purpose did the resources require ?","to support it","AmPncQgTemplate"
"They could live on land but had to return to the water to lay their eggs .","For what purpose did They return to the water ?","to lay their eggs","AmPncQgTemplate"
"In order to form a sedimentary rock , the accumulated sediment must become compacted and cemented together .","For what purpose did the accumulated sediment become compacted and cemented ?","In order to form a sedimentary rock","AmPncQgTemplate"
"In order to form a sedimentary rock , the accumulated sediment must become compacted and cemented together .","For what purpose must the accumulated sediment compacted together ?","In order to form a sedimentary rock","AmPncQgTemplate"
"In order to form a sedimentary rock , the accumulated sediment must become compacted and cemented together .","For what purpose did the accumulated sediment cement ?","In order to form a sedimentary rock","AmPncQgTemplate"
"Without decomposers , we would eventually run out of the materials we need to survive .","For what purpose do we need the materials ?","to survive","AmPncQgTemplate"
"They represent objects that have different velocities only because they are moving in different directions .","Why do objects have different velocities ?","only because they are moving in different directions","AmCauQgTemplate"
"The louder a sound is , the less exposure is needed for damage to occur .","For what purpose is the less exposure is needed the louder a sound is ?","for damage to occur","AmPncQgTemplate"
"Small molecules , such as those present in the early atmosphere , can provide the components ( including the elements C , H , N , O and S ) to make larger molecules .","For what purpose can Small molecules , such as those present in the early atmosphere , provide the components ( including the elements C , H , N , O and S ) ?","to make larger molecules","AmPncQgTemplate"
"Getting STIs is no big deal , because STIs can be cured with medicine .","Why is Getting STIs no big deal ?","because STIs can be cured with medicine","AmCauQgTemplate"
"The needles used to draw blood for donations are always new .","For what purpose did blood draw ?","for donations","AmPncQgTemplate"
"However , they need help breathing because their lungs are not yet fully mature .","Why do they need help breathing ?","because their lungs are not yet fully mature","AmCauQgTemplate"
